Date,Close
"Dec 18, 2013",55.57
"Dec 17, 2013",54.86
"Dec 16, 2013",53.81
"Dec 13, 2013",53.32
"Dec 12, 2013",51.83
"Dec 11, 2013",49.38
"Dec 10, 2013",50.24
"Dec 9, 2013",48.84
"Dec 6, 2013",47.94
"Dec 5, 2013",48.34
"Dec 4, 2013",48.62
"Dec 3, 2013",46.73
"Dec 2, 2013",47.06
"Nov 29, 2013",47.01
"Nov 27, 2013",46.49
"Nov 26, 2013",45.89
"Nov 25, 2013",44.82
"Nov 22, 2013",46.23
"Nov 21, 2013",46.70
"Nov 20, 2013",46.43
"Nov 19, 2013",46.36
"Nov 18, 2013",45.83
"Nov 15, 2013",49.01
"Nov 14, 2013",48.99
"Nov 13, 2013",48.71
"Nov 12, 2013",46.60
"Nov 11, 2013",46.20
"Nov 8, 2013",47.53
"Nov 7, 2013",47.56
"Nov 6, 2013",49.12
"Nov 5, 2013",50.10
"Nov 4, 2013",48.22
"Nov 1, 2013",49.75
"Oct 31, 2013",50.20
"Oct 30, 2013",49.01
"Oct 29, 2013",49.40
"Oct 28, 2013",50.23
"Oct 25, 2013",51.95
"Oct 24, 2013",52.44
"Oct 23, 2013",51.90
"Oct 22, 2013",52.68
"Oct 21, 2013",53.85
"Oct 18, 2013",54.22
"Oct 17, 2013",52.21
"Oct 16, 2013",51.14
"Oct 15, 2013",49.50
"Oct 14, 2013",49.51
"Oct 11, 2013",49.11
"Oct 10, 2013",49.05
"Oct 9, 2013",46.77
"Oct 8, 2013",47.14
"Oct 7, 2013",50.52
"Oct 4, 2013",51.04
"Oct 3, 2013",49.18
"Oct 2, 2013",50.28
"Oct 1, 2013",50.42
"Sep 30, 2013",50.23
"Sep 27, 2013",51.24
"Sep 26, 2013",50.39
"Sep 25, 2013",49.46
"Sep 24, 2013",48.45
"Sep 23, 2013",47.19
"Sep 20, 2013",47.49
"Sep 19, 2013",45.98
"Sep 18, 2013",45.23
"Sep 17, 2013",45.07
"Sep 16, 2013",42.51
"Sep 13, 2013",44.31
"Sep 12, 2013",44.75
"Sep 11, 2013",45.04
"Sep 10, 2013",43.60
"Sep 9, 2013",44.04
"Sep 6, 2013",43.95
"Sep 5, 2013",42.66
"Sep 4, 2013",41.78
"Sep 3, 2013",41.87
"Aug 30, 2013",41.29
"Aug 29, 2013",41.28
"Aug 28, 2013",40.55
"Aug 27, 2013",39.64
"Aug 26, 2013",41.34
"Aug 23, 2013",40.55
"Aug 22, 2013",38.55
"Aug 21, 2013",38.32
"Aug 20, 2013",38.41
"Aug 19, 2013",37.81
"Aug 16, 2013",37.08
"Aug 15, 2013",36.56
"Aug 14, 2013",36.65
"Aug 13, 2013",37.02
"Aug 12, 2013",38.22
"Aug 9, 2013",38.50
"Aug 8, 2013",38.54
"Aug 7, 2013",38.87
"Aug 6, 2013",38.55
"Aug 5, 2013",39.19
"Aug 2, 2013",38.05
"Aug 1, 2013",37.49
"Jul 31, 2013",36.80
"Jul 30, 2013",37.63
"Jul 29, 2013",35.43
"Jul 26, 2013",34.01
"Jul 25, 2013",34.36
"Jul 24, 2013",26.51
"Jul 23, 2013",26.13
"Jul 22, 2013",26.04
"Jul 19, 2013",25.88
"Jul 18, 2013",26.18
"Jul 17, 2013",26.65
"Jul 16, 2013",26.32
"Jul 15, 2013",26.28
"Jul 12, 2013",25.91
"Jul 11, 2013",25.81
"Jul 10, 2013",25.80
"Jul 9, 2013",25.48
"Jul 8, 2013",24.71
"Jul 5, 2013",24.37
"Jul 3, 2013",24.52
"Jul 2, 2013",24.41
"Jul 1, 2013",24.81
"Jun 28, 2013",24.88
"Jun 27, 2013",24.66
"Jun 26, 2013",24.16
"Jun 25, 2013",24.25
"Jun 24, 2013",23.94
"Jun 21, 2013",24.53
"Jun 20, 2013",23.90
"Jun 19, 2013",24.31
"Jun 18, 2013",24.21
"Jun 17, 2013",24.02
"Jun 14, 2013",23.63
"Jun 13, 2013",23.73
"Jun 12, 2013",23.77
"Jun 11, 2013",24.03
"Jun 10, 2013",24.33
"Jun 7, 2013",23.29
"Jun 6, 2013",22.97
"Jun 5, 2013",22.90
"Jun 4, 2013",23.52
"Jun 3, 2013",23.85
"May 31, 2013",24.35
"May 30, 2013",24.55
"May 29, 2013",23.32
"May 28, 2013",24.10
"May 24, 2013",24.31
"May 23, 2013",25.06
"May 22, 2013",25.16
"May 21, 2013",25.66
"May 20, 2013",25.76
"May 17, 2013",26.25
"May 16, 2013",26.13
"May 15, 2013",26.60
"May 14, 2013",27.07
"May 13, 2013",26.82
"May 10, 2013",26.68
"May 9, 2013",27.04
"May 8, 2013",27.12
"May 7, 2013",26.89
"May 6, 2013",27.57
"May 3, 2013",28.31
"May 2, 2013",28.97
"May 1, 2013",27.43
"Apr 30, 2013",27.77
"Apr 29, 2013",26.98
"Apr 26, 2013",26.85
"Apr 25, 2013",26.14
"Apr 24, 2013",26.11
"Apr 23, 2013",25.98
"Apr 22, 2013",25.97
"Apr 19, 2013",25.73
"Apr 18, 2013",25.69
"Apr 17, 2013",26.62
"Apr 16, 2013",26.92
"Apr 15, 2013",26.52
"Apr 12, 2013",27.40
"Apr 11, 2013",28.02
"Apr 10, 2013",27.57
"Apr 9, 2013",26.59
"Apr 8, 2013",26.85
"Apr 5, 2013",27.39
"Apr 4, 2013",27.07
"Apr 3, 2013",26.25
"Apr 2, 2013",25.42
"Apr 1, 2013",25.53
"Mar 28, 2013",25.58
"Mar 27, 2013",26.09
"Mar 26, 2013",25.20
"Mar 25, 2013",25.13
"Mar 22, 2013",25.73
"Mar 21, 2013",25.74
"Mar 20, 2013",25.86
"Mar 19, 2013",26.55
"Mar 18, 2013",26.49
"Mar 15, 2013",26.64
"Mar 14, 2013",27.04
"Mar 13, 2013",27.08
"Mar 12, 2013",27.83
"Mar 11, 2013",28.14
"Mar 8, 2013",27.96
"Mar 7, 2013",28.58
"Mar 6, 2013",27.45
"Mar 5, 2013",27.52
"Mar 4, 2013",27.72
"Mar 1, 2013",27.78
"Feb 28, 2013",27.25
"Feb 27, 2013",26.87
"Feb 26, 2013",27.39
"Feb 25, 2013",27.27
"Feb 22, 2013",27.13
"Feb 21, 2013",27.28
"Feb 20, 2013",28.46
"Feb 19, 2013",28.93
"Feb 15, 2013",28.32
"Feb 14, 2013",28.50
"Feb 13, 2013",27.91
"Feb 12, 2013",27.37
"Feb 11, 2013",28.26
"Feb 8, 2013",28.54
"Feb 7, 2013",28.65
"Feb 6, 2013",29.05
"Feb 5, 2013",28.64
"Feb 4, 2013",28.11
"Feb 1, 2013",29.73
"Jan 31, 2013",30.98
"Jan 30, 2013",31.24
"Jan 29, 2013",30.79
"Jan 28, 2013",32.47
"Jan 25, 2013",31.54
"Jan 24, 2013",31.08
"Jan 23, 2013",30.82
"Jan 22, 2013",30.73
"Jan 18, 2013",29.66
"Jan 17, 2013",30.14
"Jan 16, 2013",29.85
"Jan 15, 2013",30.10
"Jan 14, 2013",30.95
"Jan 11, 2013",31.72
"Jan 10, 2013",31.30
"Jan 9, 2013",30.59
"Jan 8, 2013",29.06
"Jan 7, 2013",29.42
"Jan 4, 2013",28.76
"Jan 3, 2013",27.77
"Jan 2, 2013",28.00
